103929009_118451895	Валик малярный Эксперт TexPro 2225 1 шт	Эксперт	1850	1
159500605_828454703	Совковая лопата 90121-0, рельсовая сталь	Без бренда	2350	2
116304036_585399589	Кисть макловица (КМА) Tulex 30 мм, 1 шт. арт.1010312	Tulex	1090	1
152828941_225732305	Tulex ножовка по дереву 5011050 500 мм	Tulex	4600	1
101274640_200355476	Эксперт молоток слесарный тупоносая ЭКСПЕРТ 59002-10	Эксперт	4010	1
104327595_931025304	Герметик Akfix 100Е универсальный, цвет прозрачный 280 мл	akfix	1285	23
104364942_881192272	Валик малярный Эксперт Velur 2418 1шт	Эксперт	1990	1
135804351_028639890	Шлифовальный круг Tulex 125 мм, абразивный материал Р240 5 шт	Tulex	590	1
109488865_319685019	Tulex кувалда слесарный тупоносая 5052020 2 кг	tulex	6285	1
119873078_779694021	Шпатель малярный Tulex 80 мм, нержавеющая сталь арт. 3001208	Tulex	800	1
106763159_612542685	BUDPRO пена FS-45, 575 мл 1 шт	BUDPRO	2400	12
107362807_860486648	Кельма для штукатурки РемоКолор 28-1-319	РемоКолор	1390	1
100303007_184085366	Эксперт 57105-50 500 мм	Эксперт	2990	1
152060126_695254185	Penosil пена Gap Filling Strawfoam 278, 650 мл 1 шт	Penosil	2500	10
119873050_752828262	Шпатель малярный Tulex 60 мм, нержавеющая сталь арт. 3001206	Tulex	500	1
101902546_287563026	Кисть плоская (КП) Эксперт 100 мм, 1 шт. арт.101902546	Эксперт	840	12
144686648_565550954	Шпатель фасадный Tulex 350 мм, нержавеющая сталь арт. фасадный, нержавеющий 350мм 3001235	Tulex	880	1
624726999	SIMYACIBASI универсальный Клей контактный 13 кг 13 кг	simyacibasi	58000	1
113457799_861841036	Tulex монтажный нож 8112018 1 шт	tulex	1040	5
120915259_112017081	Эксперт совковая лопата 0003-1	Эксперт	1600	2
132777201_516311137	Кисть макловица (КМА) Tulex 40 мм, 1 шт. арт.1010414	Tulex	1725	1
100261239_979636163	Эксперт отвертка с магнитным наконечником 149102-1-100 PH1х100 мм, 1 шт.	Эксперт	890	1
117896878_973978597	Герметик TYTAN Универсальный, цвет черный 280 мл	tytan	2450	36
108980112_467649569	Клей Akfix эпоксидный Е300 25 г	Akfix	2950	12
109490803_613012905	Tulex молоток столярный тупоносая 5051056 0.56 кг	Tulex	3750	1
139704901_559327907	Tulex отвертка 5022210 PH2х100 мм	Tulex	1520	1
142175815_158409072	Шпатель малярный Эксперт 40 мм, нержавеющая сталь арт. 3104	Эксперт	240	1
145126712_464674107	Коронка Tulex 601013-025 биметаллическая D 25 мм, 1 шт	Tulex	2020	1
101274645_569661546	Эксперт молоток ЭКСПЕРТ 593-03	Эксперт	1750	1
690209083	Плиткорез механический Эксперт 47151	ekspert	2500	1
105727744_043545916	Сверло Эксперт 1424-075-06 6x75 мм	Эксперт	950	1
151735681_720478279	Сверло Tulex по стеклу 6012410 10 мм, 1 шт.	Tulex	2000	1
115721167_475992640	Шлифмашина угловая Tulex TG-180-1.6	Tulex	25400	1
105096973_569250193	Герметик TYTAN для экстренного ремонта кровли, цвет прозрачный 310 мл	tytan	2490	22
730597280	Кисть плоская (КП) Tulex 6 мм, 12 шт. арт.110025	tulex	880	11
110013086_497345766	Эксперт бита 147148-10 1 шт	Эксперт	420	1
119895360_255326107	Коронка Tulex 60113-20 алмазная D 20 мм, 1 шт	Tulex	1980	1
705607884	Шлифовальный круг Tulex 180 мм, оксид алюминия Р80, 1 шт. арт. Круг лепестковый торцевой конический TULEX	tulex	1500	1
331200298	Шпатель фасадный Tulex 150 мм, нержавеющая сталь арт. Шпатель фасадный нержавеющий 150мм TULEX 3001215	tulex	750	1
109567666_028096665	Валик малярный Эксперт DECOR 2016 1 шт	Эксперт	1200	1
104398835_753733523	Пильный диск по дереву Эксперт 175-110-50Т-22, 110x22.23 мм, 50Т	Эксперт	2485	1
143152618_400097844	Штроборез Tulex TWC-125-1.4-1	Tulex	51500	1
135912991_498059828	Tulex лепестковый диск 85231-125-80 125x22.2 мм 1 шт	Tulex	790	1
100523664_030310443	Краска Alina Paint водоэмульсионная Optima 7 кг, белый цвет	Alina Paint	6999	5
104406525_513886212	Шпатель малярный Эксперт 80 мм, нержавеющая сталь арт. 3108	Эксперт	400	1
117363317_830848783	Профиль Стоечный ПС 50/50		1500	69
118042991_701350930	Сверло Эксперт по дереву 1441-22 22 мм, 1 шт.	Эксперт	1000	1
132801499_230454443	Сверло Tulex по металлу 60121-S13 8 мм, 13 шт.	Tulex	7550	1
152331977_057273492	Эксперт набор бит 147110-08-S2 2 шт	Эксперт	1100	1
114838404_792409347	Сверло Эксперт по дереву 143-140-12 12 мм, 1 шт.	Эксперт	490	1
101250581_268753061	PUFAS концентрат-колер, 21 землянисто-коричневый, 20 мл	pufas	1500	8
101902514_825462617	Кисть флейцевая (КФ) Эксперт 50 мм, 1 шт. арт.Универсал 11050	Эксперт	390	11
152361822_417764240	Шлифовальный круг Tulex 125 мм, абразивный материал Р240, 5 шт. арт. 85201-125-240	Tulex	345	1
104253674_628220022	Сверло Эксперт 144-152-40 40x152 мм	Эксперт	1000	1
105500231_125838236	Клеевой пистолет Эксперт 4407-10	Эксперт	2600	1
100799807_864477274	TYTAN пена 70 ULTRA FAST, 870 мл 1 шт	tytan	3700	44
100315284_909937510	Эксперт 171-125 125х22.2 мм	Эксперт	2100	1
160854887_459879410	Пистолет Tulex полузакрытый 4001631 для баллонов 310 мл	Tulex	2800	1
120872625_804095626	Сверло Tulex по металлу 60121-3-S10 3 мм, 10 шт.	Tulex	2100	1
100261203_781854285	Эксперт отвертка с магнитным наконечником 149102-1-150 PH1х150 мм, 1 шт.	Эксперт	880	1
101929600_246454766	Диск отрезной абразивный 125x22х1.2 мм, Эксперт 174-125-1.2	Эксперт	260	10
109751978_660224315	Профиль ВК-Профиль направляющий ПН 100/40	ВК-Профиль	2450	12
736647569	Кисть плоская (КП) Эксперт 25 мм, 12 шт. арт.12025	ekspert	750	12
136366431	Саморез по дереву (3.5х30 мм), 200 шт.		800	200
101602419_211796378	Герметик Akfix 100Е универсальный, цвет белый 280 мл	Akfix	1350	24
116287899_678939131	Tulex ножовка по дереву 5011040	Tulex	3700	1
101832797_577044692	Профиль Knauf стоечный ПС 75/50, 0.6 мм	knauf	3300	8
132800991_653099566	Кисть плоская (КП) Tulex 100 мм, 1 шт. арт.121100	Tulex	1030	12
488835413	Akfix двухкомпонентный Эпоксидный клей для металла AKFIX EA105 57 г	akfix	2640	48
104327592_120611365	Жидкие гвозди Akfix 310 GA200	Akfix	2800	24
123448700_880621741	Шпатель гладилка Tulex 13 мм, нержавеющая сталь арт. 3011110	Tulex	2390	1
118149413_455215692	Akfix краска SP423154 тон алюминий, 400 мл	Akfix	2500	6
142577313_673909217	Сверло Tulex по керамической плитке 6011204 4 мм, 1 шт.	Tulex	900	1
132801381_993410128	Эксперт совковая лопата 0006-1, рельсовая сталь	Эксперт	1700	2
103912434_222372840	Клей Gaudi Paint Супер Мастика готовый 7 кг	Gaudi Paint	7000	3
106184983_259322992	Сверло Эксперт КОРОНА 143-150-13 13x150 мм	Эксперт	490	1
100394986_392576114	Эксперт 172-180 180х22.2 мм	Эксперт	4150	1
145126719_610926149	Коронка Tulex 601013-083 биметаллическая D 83 мм, 1 шт	Tulex	5600	1
118463258_074969992	Кисть плоская (КП) Эксперт 25 мм, 1 шт. арт.малярная кисть 15025	Эксперт	370	12
347386901	Akfix краска Аэрозольная акриловая краска Akfix RAL 1015 кремовая, глянцевая, 400 мл тон кремовый, 400 мл	akfix	1350	6
240167589	Шлифовальный круг Tulex 230 мм, абразивный материал Р180, 5 шт. арт. 85211-240	tulex	990	1
135903494_557308891	Tulex шлифовальный лист P40 (280х230 мм), 5 шт	Tulex	845	1
142873366_305779125	Tulex шлифовальный лист P80 (28х23 мм), 5 шт	Tulex	745	1
130714805	Табурет Табурет 45х30х30, 45x30x30 см, коричневый 1 шт.		5000	1
109607836_519836228	Герметик TYTAN высоко-температурный, цвет черный 280 мл	tytan	2940	24
134021606_584079924	HAUSER малярная лента 48 мм х 40 м, 1 шт	hauser	820	55
123443049_354598783	Сверло Эксперт по металлу 1410-S13 10 мм, 13 шт.	Эксперт	3500	1
345835902	H7 внешняя съемная петля с доводчиком , сталь, цинк 200 шт		250	200
106275267_967469709	Tulex ножовка по дереву 5011140	Tulex	3080	1
110743164_164012208	Диск отрезной абразивный 180x22х1.4 мм, Tulex 8004180	Tulex	500	10
151775489_196906249	Конфирмат 500 шт, металл, 6,3х50 мм	Без бренда	5500	6
100251644_704986264	ЭКСПЕРТ 57105-45 450 мм	Эксперт	2790	1
130589186_964527262	TYTAN краска Art of the colour тон мятно-зеленый, 400 мл	tytan	1630	32
122545266_752400164	Валик малярный Tulex 2014424 1 шт	tulex	2100	5
149497358_772770211	Профиль Hitec Profil направляющий ПН 28/27, 0.6 мм	hitec-profil	2000	120
101903371_034874021	Кисть плоская (КП) Эксперт 20 мм, 1 шт. арт.Аква 15020	ekspert	340	11
143313356_139196472	Tulex кельма для штукатурки 190 мм	Tulex	1900	1
103421546_324919473	TYTAN клей-пена 60 секунд, 750 мл 1 шт	tytan	3850	17
110811121_866101011	Tulex рулетка бытовая DOUBLEHOOK 7001275, 7.5 м х 25 мм	Tulex	3490	1
245297712	Табурет Табурет 45х30х30, 45x30x30 см, белый 1 шт.		5000	1
116139939_029321464	Сверло Tulex по металлу 60121-6 6 мм, 1 шт.	Tulex	790	1
105321164_302950973	Эксперт рулетка бытовая 7205, 5 м х 25 мм	Эксперт	990	1
219251397	Tulex бита 5131225-S2 2 шт	tulex	2200	1
105886012_061654728	Насадка-миксер Эксперт 52640 SDS 60 мм	ekspert	1650	2
136423855_299110807	Спрей IRFix Антистикер 150 мл 0.2 кг	IRFix	1550	11
105216841_688695816	Эксперт бур 610-260-06 SDS-plus 1 шт	Эксперт	785	1
101600270_892750116	Эксперт 752-080 80 см	Эксперт	5000	1
700603692	Герметик TYTAN Герметик TYTAN малярный акриловый, цвет белый 280 мл	tytan	2450	40
